iso,pais,anio,pib_per_capita,exportaciones_pc,exportaciones_usd,poblacion,inflacion
CRI,Costa Rica,2015,11714.7106121672,29.9956579824958,16930125548.4428,4818038,0.801982005099623
CRI,Costa Rica,2016,12091.0301560892,31.2600961080703,18395634879.8269,4866998,-0.0174788505908217
CRI,Costa Rica,2017,12317.0902779911,32.7626831133763,19826679944.9507,4913177,1.62590692991732
CRI,Costa Rica,2018,12620.0207321581,33.6589195458941,21059634001.5172,4957818,2.22111461526581
CRI,Costa Rica,2019,12951.8588421841,34.1472985859666,22111572605.0372,4999553,2.09604635327807
CRI,Costa Rica,2020,12475.6852076814,31.6977144131717,19908254023.667,5034320,0.724911478131376
CRI,Costa Rica,2021,12962.2716075659,35.8298587276824,23500424108.3769,5059988,1.72647755109241
CRI,Costa Rica,2022,13971.7649991294,40.5888104743828,28818553202.073,5081765,8.27477490232654
CRI,Costa Rica,2023,17140.771430122,38.0957487081207,33338594300.6173,5105525,0.525193508693455
CRI,Costa Rica,2024,18853.2828705886,37.5298397915012,36297226370.6152,5129910,-0.412853001047069
CRI,Costa Rica,2025,19970.0989059622,38.8499059117269,39978465048.217,5152950,-0.073671440596217
ESP,España,1990,13795.0159385128,15.7529433364548,84463395364.0222,38867322,6.72181952228664
ESP,España,1991,14801.3226152172,15.7889291507891,91063265012.0096,38966376,5.9342134433593
ESP,España,1992,16100.6799428032,16.2165223074424,102239554688.77,39157685,5.92453126228488
ESP,España,1993,13330.3798192211,17.7405839827945,93084945744.5418,39361262,4.56907173681805
ESP,España,1994,13405.704414883,20.3474893800026,107879062228.295,39549108,4.71841373967333
ESP,España,1995,15460.9110266653,21.866166658338,134295436349.079,39724050,4.67380337624701
ESP,España,1996,16100.6215831114,23.0731000969432,148187311178.248,39889852,3.55884559338561
ESP,España,1997,14722.3717633536,25.7160804746315,151657954545.455,40057389,1.97107395582926
ESP,España,1998,15382.3348573373,26.1498778707572,161797527564.317,40223509,1.83432999908414
ESP,España,1999,15707.9473068138,26.389770883103,167415361761.776,40386875,2.31034813987063
ESP,España,2000,14743.2671031455,28.5889225704133,170991162037.647,40567864,3.43351563418764
ESP,España,2001,15368.2337984435,27.8768485415674,175010487832.677,40850412,3.58983413338117
ESP,España,2002,17111.0685058941,26.5642672698948,188324245463.53,41431558,3.06565685902211
ESP,España,2003,21522.0170990262,25.6155917093049,232580150552.156,42187645,3.03888839396661
ESP,España,2004,24925.0267844576,25.3882582473993,271611046439.383,42921895,3.03924881090924
ESP,España,2005,26450.9530130382,24.940578932511,287980772158.755,43653155,3.36881409750383
ESP,España,2006,28421.686527407,25.183486968843,317776995049.411,44397319,3.51557576832123
ESP,España,2007,32652.015594702,25.9230971257706,382818371650.197,45226803,2.7867974580495
ESP,España,2008,35603.248328071,25.5478087649402,417991645729.687,45954106,4.0753433595734
ESP,España,2009,32279.8208476151,22.9853959496361,343996583489.453,46362946,-0.287813083535241
ESP,España,2010,30658.7422282912,25.8278133398939,368818353816.667,46576897,1.79986457728769
ESP,España,2011,31824.6219134777,29.3884101095734,437172778239.3,46742697,3.19610188833792
ESP,España,2012,28456.4438151477,31.2997362842724,416597866010.156,46773055,2.44612782366809
ESP,España,2013,29228.846559842,32.7554570166099,446190552100.786,46604197,1.40858109183009
ESP,España,2014,29707.765509467,33.2193399291014,458508132691.763,46460733,-0.151114837527235
ESP,España,2015,25982.4416197775,33.2986849561039,401637009328.906,46422303,-0.500365709903243
ESP,España,2016,26755.6061149398,33.5770329849408,417367780824.515,46458139,-0.202598000426358
ESP,España,2017,28381.3425596906,34.9003952055684,461297400643.53,46571232,1.95607633363954
ESP,España,2018,30602.4212881113,34.874813986254,499282766700.392,46782011,1.67498136863799
ESP,España,2019,29786.5245689007,34.6755629292261,486670273121.568,47118501,0.699518994458648
ESP,España,2020,27233.942646160802,30.4810248544563,393139331915.954,47359424,-0.322753017299649
ESP,España,2021,30799.4775937775,33.7570843255301,493273673720.922,47443821,3.09313511976402
ESP,España,2022,30319.4987196616,39.6716824276836,574783432054.477,47786102,8.39057634118637
ESP,España,2023,33493.2225409111,37.8166476493913,612433794394.128,48352528,3.53236133492433
ESP,España,2024,35326.7683069278,37.0558792721708,639462804274.219,48848840,2.747147886618
ESP,España,2025,38627.2472148623,36.6374813887545,698476476631.372,49355143,2.699932857627
